Model,Augmentation,Accuracy,Macro_F1,Precision,Recall,Class_0_F1,Class_1_F1,Class_2_F1,Class_3_F1
hybrid_1,baseline,0.9437694549560547,0.9413749575614929,0.9399504661560059,0.9437694549560547,0.9154061675071716,0.9295478463172913,0.9479882121086121,0.9725576043128967
hybrid_1,snp_5%(default),0.972807765007019,0.9703552722930908,0.969978392124176,0.972807765007019,0.9443181753158569,0.9639546871185303,0.9764705896377563,0.9966777563095093
hybrid_1,patch_16x16_9,0.9075430631637573,0.9157238602638245,0.9325752258300781,0.9075430631637573,0.9043778777122498,0.904313325881958,0.893989086151123,0.9602150321006775
hybrid_1,gaussian_blur,0.9438831806182861,0.9432808756828308,0.9430748224258423,0.9438831806182861,0.9192478060722351,0.9397463202476501,0.9431704878807068,0.9709588885307312
hybrid_1,gaussian_noise_greyscale,0.9586609601974487,0.9554802775382996,0.9527418613433838,0.9586609601974487,0.9321662783622742,0.9469737410545349,0.9533073902130127,0.9894737005233765
hybrid_1,patch_16x16_18_snp_fillup,0.9142419099807739,0.9175729751586914,0.9290597438812256,0.9142419099807739,0.8874560594558716,0.8841903209686279,0.9315628409385681,0.9670828580856323
hybrid_1,grid_patch_16x16_4,0.9336475729942322,0.9339891672134399,0.9348430633544922,0.9336475729942322,0.9132117033004761,0.9322210550308228,0.9176706671714783,0.9728531837463379
hybrid_1,grid_patch_16x16_18_snp_fillup,0.9518672823905945,0.9538706541061401,0.9581383466720581,0.9518672823905945,0.9290540814399719,0.9412955641746521,0.950152575969696,0.9949804544448853
hybrid_1,grid_patch_16x16_9_snp_fillup,0.9584553837776184,0.9572848081588745,0.9580074548721313,0.9584553837776184,0.9319728016853333,0.953798770904541,0.9494549036026001,0.9939125776290894
hybrid_2,baseline,0.960150957107544,0.9567646980285645,0.9572315812110901,0.960150957107544,0.9235225915908813,0.9450660943984985,0.9678675532341003,0.9906025528907776
hybrid_2,snp_5%(default),0.9387636780738831,0.9368503093719482,0.9352846145629883,0.9387636780738831,0.9134986400604248,0.9337573051452637,0.9183874130249023,0.9817578792572021
hybrid_2,patch_16x16_9,0.9289823174476624,0.9235220551490784,0.9203013181686401,0.9289823174476624,0.906214714050293,0.9188608527183533,0.9111747741699219,0.9578378200531006
hybrid_2,gaussian_blur,0.9530346393585205,0.9521501064300537,0.9514173269271851,0.9530346393585205,0.9275993704795837,0.9514255523681641,0.9474727511405945,0.9821029305458069
hybrid_2,gaussian_noise_greyscale,0.9716479778289795,0.9680622816085815,0.9671341776847839,0.9716479778289795,0.9405714273452759,0.9624678492546082,0.9708737730979919,0.9983360767364502
hybrid_2,patch_16x16_18_snp_fillup,0.941884458065033,0.9365720748901367,0.9334404468536377,0.941884458065033,0.9086809754371643,0.9352051615715027,0.944337785243988,0.9580644965171814
